x;y
-8.04166666666667;43.7083333333333
-7.95833333333333;43.7083333333333
-7.70833333333333;43.7083333333333
-7.625;43.7083333333333
-7.54166666666667;43.7083333333333
-8.125;43.625
-8.04166666666667;43.625
-7.95833333333333;43.625
-7.70833333333333;43.625
-7.625;43.625
-7.54166666666667;43.625
-8.20833333333333;43.5416666666667
-8.125;43.5416666666667
-8.04166666666667;43.5416666666667
-7.95833333333333;43.5416666666667
-7.79166666666667;43.5416666666667
-7.70833333333333;43.5416666666667
-7.625;43.5416666666667
-7.54166666666667;43.5416666666667
-7.20833333333333;43.5416666666667
-6.70833333333333;43.5416666666667
-6.625;43.5416666666667
-6.54166666666667;43.5416666666667
-6.45833333333333;43.5416666666667
-6.375;43.5416666666667
-6.29166666666667;43.5416666666667
-6.20833333333333;43.5416666666667
-6.125;43.5416666666667
-6.04166666666667;43.5416666666667
-5.95833333333333;43.5416666666667
-5.875;43.5416666666667
-5.79166666666667;43.5416666666667
-8.20833333333333;43.4583333333333
-8.125;43.4583333333333
-8.04166666666667;43.4583333333333
-7.95833333333333;43.4583333333333
-7.875;43.4583333333333
-7.79166666666667;43.4583333333333
-7.70833333333333;43.4583333333333
-7.625;43.4583333333333
-7.54166666666667;43.4583333333333
-7.45833333333333;43.4583333333333
-6.875;43.4583333333333
-6.79166666666667;43.4583333333333
-6.70833333333333;43.4583333333333
-6.625;43.4583333333333
-6.54166666666667;43.4583333333333
-6.375;43.4583333333333
-6.29166666666667;43.4583333333333
-6.20833333333333;43.4583333333333
-5.20833333333333;43.4583333333333
-5.125;43.4583333333333
-5.04166666666667;43.4583333333333
-8.79166666666667;43.375
-8.45833333333333;43.375
-8.375;43.375
-8.20833333333333;43.375
-8.125;43.375
-8.04166666666667;43.375
-7.95833333333333;43.375
-7.875;43.375
-7.79166666666667;43.375
-7.45833333333333;43.375
-6.625;43.375
-6.54166666666667;43.375
-6.45833333333333;43.375
-6.29166666666667;43.375
-6.20833333333333;43.375
-5.95833333333333;43.375
-5.875;43.375
-5.70833333333333;43.375
-5.625;43.375
-5.54166666666667;43.375
-5.45833333333333;43.375
-5.375;43.375
-5.29166666666667;43.375
-5.20833333333333;43.375
-5.125;43.375
-5.04166666666667;43.375
-4.70833333333333;43.375
-4.625;43.375
-4.54166666666667;43.375
-8.95833333333333;43.2916666666667
-8.875;43.2916666666667
-8.79166666666667;43.2916666666667
