"lon","lat"
-1.043615,37.927624
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-1.126528,37.945226
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-1.043789,37.927534
-1.043789,37.927534
-0.575552,38.948603
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-8.74766,41.68649
-1.043103,37.927161
-1.065809,38.097598
-1.585753,37.405325
-1.5857,37.40533
-0.575594,38.948537
-0.575594,38.948537
-3.516718,36.744669
3.978824,43.661585
3.99306,43.665192
-7.39994,41.27932
-7.39994,41.27932
-3.110362,36.781529
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-3.59,37.17
-0.575709,38.948563
3.978824,43.661585
3.978824,43.661585
-7.98639,37.15907
-7.94147,37.14966
-7.98639,37.15907
-7.94147,37.14966
-8.90986,37.19041
-7.94147,37.14966
-8.90986,37.19041
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
-0.347371,39.542188
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
3.978824,43.661585
